estado,poblacion,poblacion_urbana,n_3b,n_autoservicio,n_conveniencia_total,n_cadena_organizada,n_conveniencia_sin_marca,n_organizado,n_suelo_fertil,ratio_organizado,ingreso_trim_2024,gini_2024,estrategia
Chiapas,5543828,2726722,0,103,872,530,342,530,40783,5144.758490566038,41083.7712658137,0.37581412012754,alcanzar_nuevo_territorio
Oaxaca,4132148,2043573,1,63,694,425,269,425,33353,4808.407058823529,52024.8931632056,0.403077198958981,alcanzar_nuevo_territorio
Tlaxcala,1342977,1119877,35,24,290,209,46,244,13522,4589.6598360655735,58833.8954117987,0.346179060243563,densificar
México,16992418,14853995,916,477,3706,2474,319,3387,101736,4385.590493061706,74161.7932716856,0.347239071544379,densificar
Michoacán de Ocampo,4748846,3376493,101,112,1035,715,220,815,32715,4142.936196319019,68233.8790480951,0.378581394746125,densificar
Puebla,6583278,4837695,155,138,1373,1032,187,1186,53869,4079.0008431703204,62161.6394297658,0.370655129187651,densificar
Campeche,928363,696587,0,35,440,171,269,171,5595,4073.6081871345027,66235.7671024304,0.377576239190466,alcanzar_nuevo_territorio
Guanajuato,6166934,4444958,108,180,1583,1031,441,1142,32354,3892.2574430823115,74544.7484356233,0.357135780148284,alcanzar_nuevo_territorio
Jalisco,8348151,7341829,9,254,2520,1915,597,1923,40288,3817.903796151846,87198.982104813,0.361218900878314,alcanzar_nuevo_territorio
Yucatán,2320898,1994851,0,100,1086,523,563,523,13705,3814.246653919694,79972.1084247346,0.38105613239191,alcanzar_nuevo_territorio
Colima,731391,658699,0,25,488,193,295,193,3510,3412.9481865284974,86241.1885160266,0.359412091696279,alcanzar_nuevo_territorio
Nayarit,1235456,895054,4,47,464,261,200,264,6365,3390.3560606060605,74601.1312547148,0.356256276112715,alcanzar_nuevo_territorio
Ciudad de México,9209944,9145632,336,313,3065,2431,299,2766,38996,3306.4468546637745,110684.847460914,0.394561517147646,densificar
Veracruz de Ignacio de la Llave,8062579,4976597,142,264,2771,1484,1147,1624,43681,3064.4070197044334,53030.4179857877,0.367288180736896,alcanzar_nuevo_territorio
Zacatecas,1622138,1026099,0,42,418,344,74,344,7875,2982.845930232558,60291.9710762925,0.373135217938859,alcanzar_nuevo_territorio
San Luis Potosí,2822255,1896806,29,92,765,623,114,651,13369,2913.6804915514595,73204.9674211823,0.397896874952214,alcanzar_nuevo_territorio
Tabasco,2402598,1406511,0,76,1105,499,606,499,10022,2818.6593186372747,65000.5569398917,0.390608810222367,sin_prioridad_clara
Chihuahua,3741869,3274046,2,252,1630,1178,451,1179,14286,2776.9686174724343,92363.3416910891,0.367953663021554,sin_prioridad_clara
Hidalgo,3082841,1766494,172,57,710,468,69,641,16698,2755.840873634945,59460.7850570816,0.361045354976185,densificar
Durango,1832650,1326380,2,98,608,483,124,484,7829,2740.4545454545455,69589.0916280382,0.354908555195896,sin_prioridad_clara
Aguascalientes,1425607,1198711,33,48,506,405,68,438,5679,2736.783105022831,89819.456933644,0.351293221509239,densificar
Morelos,1971520,1613757,130,57,683,474,76,607,12962,2658.5782537067544,66194.7129545029,0.361218499330243,densificar
Quintana Roo,1857985,1677258,0,122,1198,667,531,667,7333,2514.629685157421,88754.4153171272,0.34143278592043,sin_prioridad_clara
Guerrero,3540685,2112142,44,72,929,792,89,840,24067,2514.454761904762,48547.9912159928,0.396077056643362,sin_prioridad_clara
Querétaro,2368467,1869860,57,94,1342,725,562,780,8808,2397.25641025641,97614.6432849339,0.367869358567276,densificar
Sinaloa,3026943,2292232,0,223,1322,960,362,960,13556,2387.741666666667,82837.0390308593,0.337730023264168,sin_prioridad_clara
Baja California,3769020,3530240,0,379,1938,1701,237,1701,12417,2075.3909465020574,101187.423594563,0.330811421237136,sin_prioridad_clara
Baja California Sur,798447,727500,0,84,496,351,145,351,3681,2072.6495726495727,104727.724040704,0.336929175354161,sin_prioridad_clara
Coahuila de Zaragoza,3146771,2884047,1,217,1615,1418,197,1418,15027,2033.8836389280677,87651.7744057107,0.34311128181513,sin_prioridad_clara
Tamaulipas,3527735,3183836,1,217,1727,1599,128,1599,16835,1991.1419637273295,77302.2871528748,0.350791197504185,sin_prioridad_clara
Sonora,2944840,2585669,0,200,1751,1325,426,1325,11408,1951.4483018867925,94721.4940240843,0.371901296647639,sin_prioridad_clara
Nuevo León,5784442,5546346,2,340,3274,3047,227,3047,20592,1820.264522481129,117033.881116807,0.418612672085036,sin_prioridad_clara
