cedis,tiendas_asignadas,pct_de_capacidad,dispara_nuevo_cedis
CEDIS Vallejo,246,164.0,True
CEDIS Metepec / Toluca,181,120.7,True
CEDIS Tulancingo,181,120.7,True
CEDIS Tlahuac,150,100.0,True
CEDIS Los Reyes La Paz,150,100.0,True
CEDIS Puebla,149,99.3,True
CEDIS Yautepec,137,91.3,True
CEDIS Ecatepec,124,82.7,True
CEDIS Chalco,121,80.7,True
CEDIS Cuautitlan,107,71.3,False
CEDIS Morelia,91,60.7,False
CEDIS Veracruz,86,57.3,False
CEDIS Tula / Atitalaquia,86,57.3,False
CEDIS Atlacomulco,75,50.0,False
CEDIS Tultitlan,69,46.0,False
CEDIS Bajio II (Leon),59,39.3,False
CEDIS Queretaro,54,36.0,False
CEDIS Tezoyuca / Acolman,53,35.3,False
CEDIS Celaya / Apaseo,47,31.3,False
CEDIS Aguascalientes,45,30.0,False
CEDIS Aguascalientes,45,30.0,False
CEDIS Acapulco / Guerrero,37,24.7,False
CEDIS San Luis Potosí,32,21.3,False
